Condition,Price,Location,Time,Model,Year,Category
REUSE,235,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR5 250 Enduro,2020,Enduro / offroad
REUSE,1500,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR5 250 Extrem,2015,Enduro / offroad
REUSE,265,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR5 250 Extrem,2019,Enduro / offroad
REUSE,1300,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR5 250 Extrem,2020,Enduro / offroad
REUSE,279,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR5 250 Supermoto,2015,Super motard
REUSE,780,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR5 Enduro 250,2018,Enduro / offroad
REUSE,810,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR5 Extreme 250,2018,Enduro / offroad
REUSE,330,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR5 Supermoto 250,2018,Super motard
REUSE,345,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR5 Supermoto 250,2019,Super motard
REUSE,1180,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR5 Supermoto 250,2020,Super motard
REUSE,2180,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR7,2015,Prototype / concept model
REUSE,1370,Sihanoukville,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR7,2021,Sport
REUSE,1600,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR7 Adventure 650,2018,Enduro / offroad
REUSE,5800,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR7 Adventure 650,2019,Enduro / offroad
REUSE,4350,SiemReab,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP PR7 Adventure 650,2020,Enduro / offroad
REUSE,3850,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP Pr4 125 Enduro,2006,Enduro / offroad
REUSE,1650,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP Pr4 125 Enduro,2007,Enduro / offroad
REUSE,2150,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP Pr4 125 Supermotard,2006,Super motard
REUSE,1500,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP Pr4 125 Supermotard,2007,Super motard
REUSE,2150,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP Pr4 200 Enduro,2006,Enduro / offroad
REUSE,1150,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP Pr4 200 Enduro,2007,Enduro / offroad
REUSE,5000,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP SPR 250,2021,Enduro / offroad
REUSE,750,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP SPR 250,2022,Enduro / offroad
REUSE,5000,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP SPR 310R,2021,Enduro / offroad
REUSE,2500,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJP SPR 510R,2021,Enduro / offroad
REUSE,780,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS 125 Eco Commuter,2010,Allround
REUSE,780,Kandal,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS 125 Eco Commuter,2011,Allround
New,2150,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS 16M,1954,Allround
New,2850,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS 71 Desert Scrambler 125,2021,Allround
REUSE,4150,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS 71 Desert Scrambler 125,2022,Allround
New,1750,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS A9 Flight 125,2015,Scooter
New,1300,SiemReab,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Bobber 125,2011,Custom / cruiser
New,1850,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Bobber 125,2015,Custom / cruiser
REUSE,2220,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Bobber 125,2016,Custom / cruiser
REUSE,2250,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS CR3-125,2008,Sport
REUSE,1900,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS CSR NKT1 125,2009,Sport
REUSE,1590,PhnomPenh,13-Apr-23,AJS Cadwell 125,2018,Sport
New,780,PhnomPenh,6 áž“áž¶áž‘áž¸áž˜áž»áž“,AJS Cadwell 125,2020,Sport
New,1250,PhnomPenh,29 áž“áž¶áž‘áž¸áž˜áž»áž“,AJS Cadwell 125,2022,Sport
REUSE,670,PhnomPenh,34 áž“áž¶áž‘áž¸áž˜áž»áž“,AJS Cadwell Clubman 125,2018,Classic
REUSE,600,PhnomPenh,47 áž“áž¶áž‘áž¸áž˜áž»áž“,AJS Cadwell Clubman 125,2020,Allround
New,2100,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Crazy Naked 50,2011,Scooter
REUSE,3050,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS DD 125E Mk3,2015,Custom / cruiser
New,3850,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS DD 125E-8,2016,Custom / cruiser
REUSE,4800,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS DD125E Mk2,2011,Custom / cruiser
REUSE,2850,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS DD50E-2,2011,Custom / cruiser
New,400,KampangSpeu,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Daytona 125,2011,Custom / cruiser
REUSE,1000,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Daytona 125,2015,Custom / cruiser
REUSE,360,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Daytona 125,2016,Custom / cruiser
REUSE,350,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Digita 50,2014,Scooter
REUSE,235,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Digita 50,2015,Scooter
REUSE,1500,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Digita 50,2020,Scooter
REUSE,265,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Eco-125,2008,Allround
REUSE,1300,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Eco-125,2009,Allround
REUSE,279,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Eco-2 125,2015,Allround
REUSE,780,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Eco-3,2016,Allround
REUSE,810,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Eos 125,2016,Custom / cruiser
REUSE,330,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Eos 125 Mk2,2011,Custom / cruiser
REUSE,345,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Eos 125 Mk2,2015,Custom / cruiser
REUSE,1180,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Eos 350,2015,Custom / cruiser
REUSE,2180,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Exactly 125,2010,Scooter
REUSE,1370,Sihanoukville,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Exactly 125,2011,Scooter
REUSE,1600,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Exactly 50,2009,Scooter
REUSE,5800,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Exactly 50,2010,Scooter
REUSE,4350,SiemReab,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Exactly 50,2011,Scooter
REUSE,3850,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Firefox 50,2012,Scooter
REUSE,1650,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Firefox 50,2015,Scooter
REUSE,2150,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Firefox 50,2020,Scooter
REUSE,1500,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS G6 Bigport,1922,Sport
REUSE,2150,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS G6 Bigport,1923,Sport
REUSE,1150,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS G6 Bigport,1924,Sport
REUSE,5000,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS G6 Bigport,1925,Sport
REUSE,750,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS G6 Bigport,1926,Sport
REUSE,5000,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS G6 Bigport,1927,Sport
REUSE,2500,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS G6 Bigport,1928,Sport
REUSE,780,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Highway Star 125,2020,Allround
REUSE,780,Kandal,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Insetto 125,2018,Scooter
New,2150,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Insetto 125,2020,Scooter
New,2850,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Insetto 125,2022,Scooter
REUSE,4150,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Isaba 125,2020,Allround
New,1750,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS JSM 50,2016,Super motard
New,1300,SiemReab,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS JSM 50 Motard,2012,Super motard
New,1850,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS JSM Motard,2015,Super motard
REUSE,2220,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS JSM Motard 125,2010,Super motard
REUSE,2250,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS JSM Motard 125,2011,Super motard
REUSE,1900,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS JSM Trail 125,2010,Trial
REUSE,1590,PhnomPenh,13-Apr-23,AJS JSM Trail 125,2011,Trial
New,780,PhnomPenh,6 áž“áž¶áž‘áž¸áž˜áž»áž“,AJS Model 14 250,1960,Sport
New,1250,PhnomPenh,29 áž“áž¶áž‘áž¸áž˜áž»áž“,AJS Model 14 250,1961,Sport
REUSE,670,PhnomPenh,34 áž“áž¶áž‘áž¸áž˜áž»áž“,AJS Model 14 250,1962,Sport
REUSE,600,PhnomPenh,47 áž“áž¶áž‘áž¸áž˜áž»áž“,AJS Model 14 250,1963,Sport
New,2100,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 14 250,1964,Sport
REUSE,3050,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 14 250,1965,Sport
New,3850,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 16 350 Spectre,1955,Allround
REUSE,4800,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 16 350 Spectre,1956,Allround
REUSE,2850,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 16 350 Spectre,1957,Allround
New,400,KampangSpeu,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 16 350 Spectre,1958,Allround
REUSE,1000,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 16 350 Spectre,1959,Allround
REUSE,360,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 16 350 Spectre,1960,Allround
REUSE,350,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 16 350 Spectre,1961,Allround
REUSE,235,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 16 350 Spectre,1962,Allround
REUSE,1500,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 16 350 Spectre,1963,Allround
REUSE,265,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 16 350 Spectre,1964,Allround
REUSE,1300,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 16 350 Spectre,1965,Allround
REUSE,279,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 16 350MS,1949,Allround
REUSE,780,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 16 350MS,1950,Allround
REUSE,810,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 16 350MS,1951,Allround
REUSE,330,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 16 350MS,1952,Allround
REUSE,345,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 16 350MS,1953,Allround
REUSE,1180,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 16 350MS,1954,Allround
REUSE,2180,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 16 350MS,1955,Allround
REUSE,1370,Sihanoukville,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 16 350MS,1956,Allround
REUSE,1600,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 16 350MS,1957,Allround
REUSE,5800,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 16 350MS,1958,Allround
REUSE,4350,SiemReab,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 16 350MS,1959,Allround
REUSE,3850,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 16 350MS,1960,Allround
REUSE,1650,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 16 350MS,1961,Allround
REUSE,2150,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 16 350MS,1962,Allround
REUSE,1500,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 16 350MS,1963,Allround
REUSE,2150,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 16 350MS,1964,Allround
REUSE,1150,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 16 350MS,1965,Allround
REUSE,5000,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 16 350MS,1966,Allround
REUSE,750,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 16 350MS,1967,Allround
REUSE,5000,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 18 500 Statesman,1960,Allround
REUSE,2500,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 18 500 Statesman,1961,Allround
REUSE,780,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 18 500 Statesman,1962,Allround
REUSE,780,Kandal,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 18 500 Statesman,1963,Allround
New,2150,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 18 500 Statesman,1964,Allround
New,2850,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 18 500 Statesman,1965,Allround
REUSE,4150,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 20 500,1949,Allround
New,1750,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 20 500,1950,Allround
New,1300,SiemReab,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 20 500,1951,Allround
New,1850,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 20 500,1952,Allround
REUSE,2220,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 20 500,1953,Allround
REUSE,2250,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 20 500,1954,Allround
REUSE,1900,PhnomPenh,2 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 20 500,1955,Allround
REUSE,1590,PhnomPenh,13-Apr-23,AJS Model 20 500,1956,Allround
New,780,PhnomPenh,6 áž“áž¶áž‘áž¸áž˜áž»áž“,AJS Model 20 500,1957,Allround
New,1250,PhnomPenh,29 áž“áž¶áž‘áž¸áž˜áž»áž“,AJS Model 20 500,1958,Allround
REUSE,670,PhnomPenh,34 áž“áž¶áž‘áž¸áž˜áž»áž“,AJS Model 20 500,1959,Allround
REUSE,600,PhnomPenh,47 áž“áž¶áž‘áž¸áž˜áž»áž“,AJS Model 30 600,1956,Allround
New,2100,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 30 600,1957,Allround
REUSE,3050,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 31 650 Swift,1959,Allround
New,3850,PhnomPenh,1 áž˜áŸ‰áŸ„áž„áž˜áž»áž“,AJS Model 31 650 Swift,1960,Allround
