JobTitle,CompanyName,Category,Salary,JobType,JobFunction,PositionLevel,WorkingDay,WorkingHour,Location,DetailLocation,WorkingExperience,Qualification,Age
Production Supervisor,KOFi Group,Food and Berverage,Negotiable,Full Time,Top Management,Senior Executive,,,Phnom Penh,"# 86, Mao Tse Toung Blvd,Boeung Trabek, Chamkamorn, Phnom Penh, Cambodia, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Service Supervisor,KOFi Group,Food and Berverage,Negotiable,Full Time,Customer Service,Senior Executive,,,Phnom Penh,"# 86, Mao Tse Toung Blvd,Boeung Trabek, Chamkamorn, Phnom Penh, Cambodia, Phnom Penh",2-5 years,Associate Degree,18 - 50
Marketing Research Executive,KOFi Group,Food and Berverage,Negotiable,Full Time,Marketing/Business Development,Junior Executive,,,Phnom Penh,"# 86, Mao Tse Toung Blvd,Boeung Trabek, Chamkamorn, Phnom Penh, Cambodia, Phnom Penh",2-5 years,Associate Degree,18 - 50
Corporate Sales Executive,KOFi Group,Food and Berverage,Negotiable,Full Time,Retail Sales/General,Junior Executive,,,Phnom Penh,"# 86, Mao Tse Toung Blvd,Boeung Trabek, Chamkamorn, Phnom Penh, Cambodia, Phnom Penh",2-5 years,Associate Degree,18 - 50
Finance and Admin Executive,KOFi Group,Food and Berverage,Negotiable,Full Time,Accounting,Junior Executive,,,Preah Sihanouk,"# 86, Mao Tse Toung Blvd,Boeung Trabek, Chamkamorn, Phnom Penh, Cambodia, Phnom Penh",2-5 years,Associate Degree,18 - 50
Sales Admin Executive,KOFi Group,Food and Berverage,Negotiable,Full Time,Retail Sales/General,Senior Executive,,,Preah Sihanouk,"# 86, Mao Tse Toung Blvd,Boeung Trabek, Chamkamorn, Phnom Penh, Cambodia, Phnom Penh",< 2 years,Associate Degree,18 - 50
Barista Trainer,KOFi Group,Food and Berverage,Negotiable,Full Time,Customer Service,Fresh/Entry Level,,,Battambang,"# 86, Mao Tse Toung Blvd,Boeung Trabek, Chamkamorn, Phnom Penh, Cambodia, Phnom Penh",< 2 years,Associate Degree,18 - 50
Stock Executive,KOFi Group,Food and Berverage,Negotiable,Full Time,Customer Service,Fresh/Entry Level,,,Battambang,"# 86, Mao Tse Toung Blvd,Boeung Trabek, Chamkamorn, Phnom Penh, Cambodia, Phnom Penh",< 2 years,High School or equivalent,18 - 50
Marketing Manager,KOFi Group,Electrical and Electronics,Negotiable,Full Time,Marketing/Business Development,Senior Executive,,,Phnom Penh,"# 86, Mao Tse Toung Blvd,Boeung Trabek, Chamkamorn, Phnom Penh, Cambodia, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
តំណាងផ្នែកលក់,Alliance Pharma Cambodge,Health / Medical Care / Pharmaceutical,Negotiable,Full Time,Retail Sales/General,Junior Executive,,,Phnom Penh,"Phum Boeung Salang, Sangkat Russey Keo, Khan Russey Keo, Phnom Penh, Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Nutrition Adviser (Marketing for Physiolac Milk Product),Alliance Pharma Cambodge,Health / Medical Care / Pharmaceutical,Negotiable,Full Time,Marketing/Business Development,Junior Executive,,,Battambang,"Phum Boeung Salang, Sangkat Russey Keo, Khan Russey Keo, Phnom Penh, Cambodia., Phnom Penh",< 2 years,Others,18 - 50
Warehouse Supervisor,Alliance Pharma Cambodge,Health / Medical Care / Pharmaceutical,Negotiable,Full Time,Logistics/Supply Chain,Junior Executive,,,Phnom Penh,"Phum Boeung Salang, Sangkat Russey Keo, Khan Russey Keo, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Medical Representatives,Alliance Pharma Cambodge,Health / Medical Care / Pharmaceutical,Negotiable,Full Time,Nurse/Medical Support,Junior Executive,,,Battambang,"Phum Boeung Salang, Sangkat Russey Keo, Khan Russey Keo, Phnom Penh, Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Site Manager,Bitus PLC.,Construction / Building / Architecture,Negotiable,Full Time,Architecture/Engineering,Junior Executive,,,Phnom Penh,"SSN Building 4th Floor, Norodom Blvd., Sangkat Chey Chomnas, Khan Daun Penh, Phnom Penh, Cambodia., Phnom Penh",5-8 years,Bachelor's Degree,30 - 40
Draftsman,Bitus PLC.,Construction / Building / Architecture,Negotiable,Full Time,Architecture/Engineering,Junior Executive,,,Phnom Penh,"SSN Building 4th Floor, Norodom Blvd., Sangkat Chey Chomnas, Khan Daun Penh, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,25 - 35
Site Accountant &Admin (Sihaknouk Ville),Bitus PLC.,Construction / Building / Architecture,Negotiable,Full Time,Accounting,Fresh/Entry Level,,,Preah Sihanouk,"SSN Building 4th Floor, Norodom Blvd., Sangkat Chey Chomnas, Khan Daun Penh, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,23 - 35
Web Application Developer,Biz Solution,Information Technology / Digital,Negotiable,Full Time,Sales / Eng/Tech/IT,Fresh/Entry Level,,,Phnom Penh,"#35A street 390, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Software Engineering/System Analzye,Biz Solution,Information Technology / Digital,Negotiable,Full Time,Sales / Eng/Tech/IT,Fresh/Entry Level,,,Phnom Penh,"#35A street 390, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Graphic Designer,Biz Solution,Information Technology / Digital,Negotiable,Full Time,Arts/Creative Design,Fresh/Entry Level,,,Phnom Penh,"#35A street 390, Phnom Penh, Cambodia., Phnom Penh",No preference,Bachelor's Degree,18 - 50
Stock Controller Assistant,"i-Qlick Marketing Co., Ltd.",General Business,Negotiable,Full Time,Logistics/Supply Chain,Junior Executive,,,Phnom Penh,"No.146, Preah Sihanouk Boulevard, Kingdom of Cambodia, Phnom Penh",< 2 years,Bachelor's Degree,18 - 35
Operation Executive,"PANTOS Logistics (Cambodia) Co., Ltd",Logistics / Transportation / Warehouse,Negotiable,Full Time,Top Management,Manager,,,Phnom Penh,"4F No. 66, Norodom Blvd.,  Sangkat Chey chomneas, Khan Doun Penh, Phnom Penh., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Accounting Intern,"PANTOS Logistics (Cambodia) Co., Ltd",Logistics / Transportation / Warehouse,Negotiable,Internship/Training,Accounting,Fresh/Entry Level,,,Phnom Penh,"4F No. 66, Norodom Blvd.,  Sangkat Chey chomneas, Khan Doun Penh, Phnom Penh., Phnom Penh",No preference,Bachelor's Degree,18 - 50
Operation Staff Intern,"PANTOS Logistics (Cambodia) Co., Ltd",Logistics / Transportation / Warehouse,Negotiable,Internship/Training,Clerical/Administrative,Fresh/Entry Level,,,Phnom Penh,"4F No. 66, Norodom Blvd.,  Sangkat Chey chomneas, Khan Doun Penh, Phnom Penh., Phnom Penh",No preference,Bachelor's Degree,18 - 50
Assistant to Operation Manager,"PANTOS Logistics (Cambodia) Co., Ltd",Logistics / Transportation / Warehouse,Negotiable,Full Time,Secretarial,Fresh/Entry Level,,,Phnom Penh,"4F No. 66, Norodom Blvd.,  Sangkat Chey chomneas, Khan Doun Penh, Phnom Penh., Phnom Penh",No preference,Bachelor's Degree,18 - 50
Sale Executive,"PANTOS Logistics (Cambodia) Co., Ltd",Logistics / Transportation / Warehouse,Negotiable,Full Time,Retail Sales/General,Senior Executive,,,Phnom Penh,"4F No. 66, Norodom Blvd.,  Sangkat Chey chomneas, Khan Doun Penh, Phnom Penh., Phnom Penh",No preference,Bachelor's Degree,18 - 50
海南中腾物联科技有限公司急招,"CamHR Information (Cambodia) Co., Ltd",Hotel / Resort / Travel,Negotiable,Full Time,Hotel/Tourism,Fresh/Entry Level,,,Phnom Penh,"Intercontinental Hotel, Regency Complex A, 2nd floor, Mao Tse Tong Blvd, Phnom Penh, Cambodia, Phnom Penh",No preference,Zero(0),18 - 50
Network & Engineering work in China,"CamHR Information (Cambodia) Co., Ltd",Hotel / Resort / Travel,Negotiable,Full Time,Sales / Eng/Tech/IT,Fresh/Entry Level,,,Phnom Penh,"Intercontinental Hotel, Regency Complex A, 2nd floor, Mao Tse Tong Blvd, Phnom Penh, Cambodia, Phnom Penh",No preference,Zero(0),18 - 50
Vacancies--Blue Sea Hotel (High Salary),"CamHR Information (Cambodia) Co., Ltd",Hotel / Resort / Travel,Negotiable,Full Time,Hotel/Tourism,Fresh/Entry Level,,,Phnom Penh,"Intercontinental Hotel, Regency Complex A, 2nd floor, Mao Tse Tong Blvd, Phnom Penh, Cambodia, Phnom Penh",No preference,Zero(0),18 - 50
Marketing Development Officer/Assistant of IB Dept $800up,"CamHR Information (Cambodia) Co., Ltd",Hotel / Resort / Travel,$501 - $1000 USD,Full Time,Marketing/Business Development,Fresh/Entry Level,,,Phnom Penh,"Intercontinental Hotel, Regency Complex A, 2nd floor, Mao Tse Tong Blvd, Phnom Penh, Cambodia, Phnom Penh",No preference,Bachelor's Degree,18 - 50
Content-rating Editor (overseas) $800up,"CamHR Information (Cambodia) Co., Ltd",Health / Medical Care / Pharmaceutical,$501 - $1000 USD,Full Time,Sales / Eng/Tech/IT,Fresh/Entry Level,,,Phnom Penh,"Intercontinental Hotel, Regency Complex A, 2nd floor, Mao Tse Tong Blvd, Phnom Penh, Cambodia, Phnom Penh",No preference,Bachelor's Degree,18 - 50
Admin & HR,"CamHR Information (Cambodia) Co., Ltd",Hotel / Resort / Travel,Negotiable,Full Time,Clerical/Administrative,Fresh/Entry Level,,,Phnom Penh,"Intercontinental Hotel, Regency Complex A, 2nd floor, Mao Tse Tong Blvd, Phnom Penh, Cambodia, Phnom Penh",No preference,Zero(0),18 - 50
Sales Representative ($200 to $500),"CamHR Information (Cambodia) Co., Ltd",Human Resource / Recruitment,Negotiable,Full Time,Retail Sales/General,Fresh/Entry Level,,,Phnom Penh,"Intercontinental Hotel, Regency Complex A, 2nd floor, Mao Tse Tong Blvd, Phnom Penh, Cambodia, Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Customer Service $200-$500,"CamHR Information (Cambodia) Co., Ltd",Human Resource / Recruitment,Negotiable,Full Time,Customer Service,Fresh/Entry Level,,,Phnom Penh,"Intercontinental Hotel, Regency Complex A, 2nd floor, Mao Tse Tong Blvd, Phnom Penh, Cambodia, Phnom Penh",No preference,Bachelor's Degree,18 - 50
Digital Touchpoints Specialist,Smart Axiata Company Limited (Smart),Telecommunication,Negotiable,Full Time,Top Management,Junior Executive,,,Phnom Penh,"No464 A, Monivong Blvd, Sangkat Tonlebasac, Khan Chamkarmoan, Phnom Penh, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Senior Marcom Specialist (Go-To-Market),Smart Axiata Company Limited (Smart),Telecommunication,Negotiable,Full Time,Marketing/Business Development,Junior Executive,,,Phnom Penh,"No464 A, Monivong Blvd, Sangkat Tonlebasac, Khan Chamkarmoan, Phnom Penh, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Head of Music and Entertainment,Smart Axiata Company Limited (Smart),Telecommunication,Negotiable,Full Time,Top Management,Senior Executive,,,Phnom Penh,"No464 A, Monivong Blvd, Sangkat Tonlebasac, Khan Chamkarmoan, Phnom Penh, Phnom Penh",5-8 years,Bachelor's Degree,18 - 50
HR Recruiter and Operations Specialist,Smart Axiata Company Limited (Smart),Telecommunication,Negotiable,Full Time,Hotel/Tourism,Junior Executive,,,Phnom Penh,"No464 A, Monivong Blvd, Sangkat Tonlebasac, Khan Chamkarmoan, Phnom Penh, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Senior prepaid product specialist,Smart Axiata Company Limited (Smart),Telecommunication,Negotiable,Full Time,Telecommunication,Junior Executive,,,Phnom Penh,"No464 A, Monivong Blvd, Sangkat Tonlebasac, Khan Chamkarmoan, Phnom Penh, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Marcom Specialist-Digital,Smart Axiata Company Limited (Smart),Telecommunication,Negotiable,Full Time,Marketing/Business Development,Fresh/Entry Level,,,Phnom Penh,"No464 A, Monivong Blvd, Sangkat Tonlebasac, Khan Chamkarmoan, Phnom Penh, Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Key Account Executive,Smart Axiata Company Limited (Smart),Telecommunication,Negotiable,Full Time,Retail Sales/General,Junior Executive,,,Phnom Penh,"No464 A, Monivong Blvd, Sangkat Tonlebasac, Khan Chamkarmoan, Phnom Penh, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Event Sales Supervisor,Smart Axiata Company Limited (Smart),Telecommunication,Negotiable,Full Time,Clerical/Administrative,Junior Executive,,,Phnom Penh,"No464 A, Monivong Blvd, Sangkat Tonlebasac, Khan Chamkarmoan, Phnom Penh, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Senior Analytics & Insights,Smart Axiata Company Limited (Smart),Telecommunication,Negotiable,Full Time,Telecommunication,Junior Executive,,,Phnom Penh,"No464 A, Monivong Blvd, Sangkat Tonlebasac, Khan Chamkarmoan, Phnom Penh, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Receptionist (Urgent),Smart Axiata Company Limited (Smart),Telecommunication,Negotiable,Full Time,Clerical/Administrative,Fresh/Entry Level,,,Phnom Penh,"No464 A, Monivong Blvd, Sangkat Tonlebasac, Khan Chamkarmoan, Phnom Penh, Phnom Penh",< 2 years,Associate Degree,20 - 28
Smart Shop Supervisor,Smart Axiata Company Limited (Smart),Telecommunication,Negotiable,Full Time,Customer Service,Junior Executive,,,Phnom Penh,"No464 A, Monivong Blvd, Sangkat Tonlebasac, Khan Chamkarmoan, Phnom Penh, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Sales Support Manager,Smart Axiata Company Limited (Smart),Telecommunication,Negotiable,Full Time,Operation/Production,Senior Executive,,,Phnom Penh,"No464 A, Monivong Blvd, Sangkat Tonlebasac, Khan Chamkarmoan, Phnom Penh, Phnom Penh",5-8 years,Bachelor's Degree,18 - 50
Field Sales Supervisor (Very Urgent),Smart Axiata Company Limited (Smart),Telecommunication,Negotiable,Full Time,Retail Sales/General,Junior Executive,,,Banteay Meanchey,"No464 A, Monivong Blvd, Sangkat Tonlebasac, Khan Chamkarmoan, Phnom Penh, Phnom Penh",2-5 years,High School or equivalent,18 - 35
Field Sales Officer (Urgent),Smart Axiata Company Limited (Smart),Telecommunication,Negotiable,Full Time,Retail Sales/General,Fresh/Entry Level,,,Battambang,"No464 A, Monivong Blvd, Sangkat Tonlebasac, Khan Chamkarmoan, Phnom Penh, Phnom Penh",No preference,High School or equivalent,18 - 50
Channel Sales Operation Manager,Smart Axiata Company Limited (Smart),Telecommunication,Negotiable,Full Time,Operation/Production,Senior Executive,,,Phnom Penh,"No464 A, Monivong Blvd, Sangkat Tonlebasac, Khan Chamkarmoan, Phnom Penh, Phnom Penh",5-8 years,Bachelor's Degree,18 - 50
ផ្នែកស្ដុក (Stock Controller),Mean Leap 88,Retail / Trading Distribution / Cosumer Products ,Negotiable,Full Time,Logistics/Supply Chain,Fresh/Entry Level,,,Phnom Penh,"Phnom Penh, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
គណនេយ្យ (Accountant),Mean Leap 88,General Business,Negotiable,Full Time,Accounting,Junior Executive,,,Phnom Penh,"Phnom Penh, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Sale & Marketing ផ្នែកទីផ្សារជាច្រើននាក់ (Urgent ),"Minyuan Xin Electrical Machineries (Cambodia) Co., Ltd",Electrical and Electronics,Negotiable,Full Time,Marketing/Business Development,Junior Executive,,,Phnom Penh,"Address:  Phnom Penh: St 271 ( Borey New World ) Villa No. 14, Street 02, S/K Terk Laork III, Khan Toul Kork, Phnom Penh, Cambodia., Phnom Penh",No preference,High School or equivalent,18 - 50
Administrative Director,Paññāsāstra International School – Sen Sok Campus,Education / Training,Negotiable,Full Time,Clerical/Administrative,Fresh/Entry Level,,,Phnom Penh,"Borey Phiphup Themy (La Sen Sok), Sangkat Phnom Penh Thmey, Khan Sen Sok, Okhna Mong Reththy road, West of Cambo City 1,500 meters., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Enrollment Assistant,Paññāsāstra International School – Sen Sok Campus,Education / Training,Negotiable,Full Time,Education,Fresh/Entry Level,,,Phnom Penh,"Borey Phiphup Themy (La Sen Sok), Sangkat Phnom Penh Thmey, Khan Sen Sok, Okhna Mong Reththy road, West of Cambo City 1,500 meters., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Kindergarten/ Primary Teaching Assistant,Paññāsāstra International School – Sen Sok Campus,Education / Training,Negotiable,Full Time,Education,Fresh/Entry Level,,,Phnom Penh,"Borey Phiphup Themy (La Sen Sok), Sangkat Phnom Penh Thmey, Khan Sen Sok, Okhna Mong Reththy road, West of Cambo City 1,500 meters., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Deputy Head of Channel,AMK Microfinance Institution Plc,Banking / Finance / Insurance / Investment,Negotiable,Full Time,Bank/Insurance,Junior Executive,,,Phnom Penh,"អគារលេខ ២៨៥​ មហាវិថីយោធពលខេមរភូមិន្ទ (ផ្ឡូវ២៧១)​ សង្កាត់ទំនប់ទឹកខណ្ឌចំការមន  រាជធានីភ្នំពេញ, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Sale Manager,AMK Microfinance Institution Plc,Banking / Finance / Insurance / Investment,Negotiable,Full Time,Sales,Junior Executive,,,Kampot,"អគារលេខ ២៨៥​ មហាវិថីយោធពលខេមរភូមិន្ទ (ផ្ឡូវ២៧១)​ សង្កាត់ទំនប់ទឹកខណ្ឌចំការមន  រាជធានីភ្នំពេញ, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Credit Underwriting and Quality Management,AMK Microfinance Institution Plc,Banking / Finance / Insurance / Investment,Negotiable,Full Time,Bank/Insurance,Senior Executive,,,Kampong Cham,"អគារលេខ ២៨៥​ មហាវិថីយោធពលខេមរភូមិន្ទ (ផ្ឡូវ២៧១)​ សង្កាត់ទំនប់ទឹកខណ្ឌចំការមន  រាជធានីភ្នំពេញ, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Senior Internal Audit Officer,AMK Microfinance Institution Plc,Banking / Finance / Insurance / Investment,Negotiable,Full Time,Audit and Taxation,Junior Executive,,,Phnom Penh,"អគារលេខ ២៨៥​ មហាវិថីយោធពលខេមរភូមិន្ទ (ផ្ឡូវ២៧១)​ សង្កាត់ទំនប់ទឹកខណ្ឌចំការមន  រាជធានីភ្នំពេញ, Phnom Penh",No preference,Bachelor's Degree,18 - 50
Agronomist,AMK Microfinance Institution Plc,Banking / Finance / Insurance / Investment,Negotiable,Full Time,Clerical/Administrative,Junior Executive,,,Phnom Penh,"អគារលេខ ២៨៥​ មហាវិថីយោធពលខេមរភូមិន្ទ (ផ្ឡូវ២៧១)​ សង្កាត់ទំនប់ទឹកខណ្ឌចំការមន  រាជធានីភ្នំពេញ, Phnom Penh",No preference,Bachelor's Degree,18 - 50
Community Facilitator Casual (2 Posts),AMK Microfinance Institution Plc,Banking / Finance / Insurance / Investment,Negotiable,Full Time,Bank/Insurance,Junior Executive,,,Phnom Penh,"អគារលេខ ២៨៥​ មហាវិថីយោធពលខេមរភូមិន្ទ (ផ្ឡូវ២៧១)​ សង្កាត់ទំនប់ទឹកខណ្ឌចំការមន  រាជធានីភ្នំពេញ, Phnom Penh",No preference,Bachelor's Degree,18 - 50
Medical Representative,MEGA LIFESCIENCES PTY LIMITED,Health / Medical Care / Pharmaceutical,Negotiable,Full Time,Nurse/Medical Support,Junior Executive,,,Phnom Penh,"iCon Professional Building #216, 2nd Floor, Room 58-E2 Norodom Blvd, Khan Chamkarmon, Phnom Penh, Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
HR and Admin Officer,BNKC (Cambodia) Microfinance Institution Plc,Human Resource / Recruitment,Negotiable,Full Time,Hotel/Tourism,Junior Executive,,,Phnom Penh,"Ground & 1st Floor of B-Ray Tower, Preah Norodom Blvd, Sangat Tonle Bassac, Khan Chmakarmon, Phnom Penh., Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Compliance Officer,FIGIX Industry,Banking / Finance / Insurance / Investment,$201 - $500 USD,Full Time,Law/Legal Service,Fresh/Entry Level,,,Phnom Penh,"#09 A1 A2, St.163, Sangkat ToulSvayPrey I, Khan Chamkamorn, Phnom Penh, Cambodia, Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Senior HR $350 - $400 (+Bonus and Fringe Benefits),FIGIX Industry,Banking / Finance / Insurance / Investment,Negotiable,Full Time,Clerical/Administrative,Junior Executive,,,Phnom Penh,"#09 A1 A2, St.163, Sangkat ToulSvayPrey I, Khan Chamkamorn, Phnom Penh, Cambodia, Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Teacher Assistant,NIRA International School,Education / Training,Negotiable,Full Time,Education,Fresh/Entry Level,,,Phnom Penh,"Toulkork Antenna, Phnom Penh",< 2 years,Minimum 1 year of experience in assisting children,18 - 50
Principal of Kindergarten & Primary School,NIRA International School,Education / Training,Negotiable,Full Time,Education,Fresh/Entry Level,,,Phnom Penh,"Toulkork Antenna, Phnom Penh",5-8 years,Bachelor's Degree,18 - 50
English Native Teacher for Kindergarten,NIRA International School,Education / Training,Negotiable,Full Time,Education,Fresh/Entry Level,,,Phnom Penh,"Toulkork Antenna, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
English Native Teacher for Primary,NIRA International School,Education / Training,Negotiable,Full Time,Education,Fresh/Entry Level,,,Phnom Penh,"Toulkork Antenna, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Administration Officer,NIRA International School,Education / Training,Negotiable,Full Time,Clerical/Administrative,Fresh/Entry Level,,,Phnom Penh,"Toulkork Antenna, Phnom Penh",No preference,Bachelor's Degree,18 - 50
Call Centre Consultant,"WING (Cambodia) Specialized Bank, Ltd.",Banking / Finance / Insurance / Investment,Negotiable,Full Time,Social and Consulting Service,Junior Executive,,,Phnom Penh,"No 30, St. 432, Sangkat Toul Tum Poung I, Khan Chamkar Mon, Phnom Penh, Cambodia, Phnom Penh",No preference,Bachelor's Degree,18 - 50
Finance Manager(very urgent),Starbucks Cambodia - Coffee Concepts (Cambodia) Limited,Food and Berverage,Negotiable,Full Time,Top Management,Junior Executive,,,Phnom Penh,"No. 7.06,7.07,7.08,7/F,#22 St.Mao Tse Toung Sangkat Boeng Trobek,  Khan  Chamkarmon, Phnom Penh, Cambodia., Phnom Penh",5-8 years,Bachelor's Degree,18 - 50
Marketing & Category Manager,Starbucks Cambodia - Coffee Concepts (Cambodia) Limited,Food and Berverage,Negotiable,Full Time,Marketing/Business Development,Senior Executive,,,Phnom Penh,"No. 7.06,7.07,7.08,7/F,#22 St.Mao Tse Toung Sangkat Boeng Trobek,  Khan  Chamkarmon, Phnom Penh, Cambodia., Phnom Penh",5-8 years,Bachelor's Degree,18 - 50
Assistant Learning and Development Manager,Starbucks Cambodia - Coffee Concepts (Cambodia) Limited,Food and Berverage,Negotiable,Full Time,Secretarial,Senior Executive,,,Phnom Penh,"No. 7.06,7.07,7.08,7/F,#22 St.Mao Tse Toung Sangkat Boeng Trobek,  Khan  Chamkarmon, Phnom Penh, Cambodia., Phnom Penh",5-8 years,Bachelor's Degree,18 - 50
Assistant Food Development Manager,Starbucks Cambodia - Coffee Concepts (Cambodia) Limited,Food and Berverage,Negotiable,Full Time,Secretarial,Junior Executive,,,Phnom Penh,"No. 7.06,7.07,7.08,7/F,#22 St.Mao Tse Toung Sangkat Boeng Trobek,  Khan  Chamkarmon, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Project Management Director,Borey Peng Huoth,Property / Real Estate,Negotiable,Full Time,Project Management,Senior Executive,,,Phnom Penh,"Building 266, St 598, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh, Cambodia., Phnom Penh",> 8 years,Bachelor's Degree,20 - 45
Training Supervisor,Borey Peng Huoth,Property / Real Estate,Negotiable,Full Time,Hotel/Tourism,Junior Executive,,,Phnom Penh,"Building 266, St 598, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,22 - 40
Recruitment Supervisor,Borey Peng Huoth,Property / Real Estate,Negotiable,Full Time,Hotel/Tourism,Junior Executive,,,Phnom Penh,"Building 266, St 598, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,22 - 40
Plumbing Engineer,Borey Peng Huoth,Property / Real Estate,Negotiable,Full Time,Arts/Creative Design,Junior Executive,,,Phnom Penh,"Building 266, St 598, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,20 - 35
Public Relation Officer,Borey Peng Huoth,Advertising / PR / Events,Negotiable,Full Time,Marketing/Business Development,Manager,,,Phnom Penh,"Building 266, St 598, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh, Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,21 - 35
Performance Management Officer,Borey Peng Huoth,Property / Real Estate,Negotiable,Full Time,Hotel/Tourism,Junior Executive,,,Phnom Penh,"Building 266, St 598, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh, Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,20 - 35
Performance Management Officer,Borey Peng Huoth,Property / Real Estate,Negotiable,Full Time,Hotel/Tourism,Junior Executive,,,Phnom Penh,"Building 266, St 598, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh, Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,20 - 35
Batching Plant Supervisor,Borey Peng Huoth,Property / Real Estate,Negotiable,Full Time,Architecture/Engineering,Manager,,,Phnom Penh,"Building 266, St 598, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh, Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,25 - 40
IT Programmer,Borey Peng Huoth,Property / Real Estate,Negotiable,Full Time,Sales / Eng/Tech/IT,Junior Executive,,,Phnom Penh,"Building 266, St 598, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh, Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,22 - 35
Structural Design Manager,Borey Peng Huoth,Property / Real Estate,Negotiable,Full Time,Design,Junior Executive,,,Phnom Penh,"Building 266, St 598, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh, Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,20 - 40
Structural Design Engineer,Borey Peng Huoth,Property / Real Estate,Negotiable,Full Time,Arts/Creative Design,Junior Executive,,,Phnom Penh,"Building 266, St 598, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh, Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,20 - 35
MEP Design Engineer,Borey Peng Huoth,Property / Real Estate,Negotiable,Full Time,Arts/Creative Design,Junior Executive,,,Phnom Penh,"Building 266, St 598, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh, Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,20 - 35
QC部助理(Road#4),FWKK(Cambodia)Limited 港资制衣厂诚聘,Clothing / Garment / Textile,Negotiable,Full Time,Clerical/Administrative,Fresh/Entry Level,,,Phnom Penh,"Trapeang Tleung Village, 12405 Phnom Penh, Phnom Penh",No preference,Bachelor's Degree,18 - 50
QA主管(Road#4),FWKK(Cambodia)Limited 港资制衣厂诚聘,Clothing / Garment / Textile,Negotiable,Full Time,Top Management,Fresh/Entry Level,,,Phnom Penh,"Trapeang Tleung Village, 12405 Phnom Penh, Phnom Penh",No preference,Bachelor's Degree,18 - 50
